Event #,Event Title,Cost Code,Cost Type,Budget Code,Description,Vendor,Contract,UOM,Revenue Unit Qty,Revenue Unit Cost,Revenue ROM,Prime PCO,Latest Price,Cost Unit Qty,Cost Unit Cost,Cost ROM,RFQ,Commitment,Latest Cost,Over / Under,Budget Modification
039,ASI 007,9-93000.000 - Tile,Subcontract - Subcontract,,Deduct to eliminate tile at common area restroom sink wall.,Precision Floors,SC-25-117-0930,ls,-1.0,"$1,640.55","-$1,640.55","-$1,640.55","-$1,640.55",-1.0,"$1,640.55","-$1,640.55",,"-$1,640.55","-$1,640.55",$0.00,
038,Deduct Light Fixture Allowance,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,"-$1,500.00",$0.00,$0.00,,,,,,0.0,$0.00,
038,Deduct Light Fixture Allowance,60-604000.000 - Fee,Material - Material,,,,,,,,"-$5,250.00",$0.00,$0.00,,,,,,0.0,$0.00,
038,Deduct Light Fixture Allowance,26-260000.000 - Electrical,Subcontract - Subcontract,,Deduct the allowance value for all light fixtures included in the contract. Owner to supply all light fixtures.,"Berd Electric, LLC",SC-25-117-260,ls,-1.0,"$150,000.00","-$150,000.00","-$150,000.00","-$150,000.00",-1.0,"$150,000.00","-$150,000.00",,"-$150,000.00","-$150,000.00",$0.00,
037,Contingency:  Moen Voss Toilet Accessories,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
037,Contingency:  Moen Voss Toilet Accessories,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
037,Contingency:  Moen Voss Toilet Accessories,10-102800.000 - Toilet and Bath Accessories,Material - Material,,Added cost for Moen Voss Toilet Accesories,,,ls,0.0,$0.00,$0.00,"$7,403.00","$7,403.00",1.0,"$7,403.00","$7,403.00",,,"$7,403.00",$0.00,
037,Contingency:  Moen Voss Toilet Accessories,60-601005.000 - Design Contingency,Material - Material,,Contingency,,,ls,0.0,$0.00,$0.00,"-$7,403.00","-$7,403.00",-1.0,"$7,403.00","-$7,403.00",,,"-$7,403.00",$0.00,
036,CTW-5 Alternate at Unit Fireplaces,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
036,CTW-5 Alternate at Unit Fireplaces,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
036,CTW-5 Alternate at Unit Fireplaces,9-93000.000 - Tile,Subcontract - Subcontract,,CTW-5 Alternate at unit fireplace surrounds,Precision Floors,SC-25-117-0930,ls,0.0,$0.00,$0.00,"-$3,217.50","-$3,217.50",-1.0,"$3,217.50","-$3,217.50",,"-$3,217.50","-$3,217.50",$0.00,
035,Window Washing Reconciliation ,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
035,Window Washing Reconciliation ,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
035,Window Washing Reconciliation ,11-112423.000 - Window Washing System,Material - Material,,Window washing allowance reconciliation.,,,ls,0.0,$0.00,$0.00,"-$38,118.00","-$38,118.00",-1.0,"$38,118.00","-$38,118.00",,,"-$38,118.00",$0.00,
034,Mock-up Wall Panel,6-61000.000 - Rough Carpentry Material,Material - Material,,Supply one 10' long x 8' high 2x6 mock-up wall with the Nova Core sheathing.,Mayfield Truss LLC,PO-25-117-061,ls,0.0,$0.00,$0.00,,$0.00,1.0,$463.43,$463.43,,$463.43,$463.43,-$463.43,
033,Dewatering and Rock Road,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
033,Dewatering and Rock Road,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
033,Dewatering and Rock Road,31-310000.000 - Earthwork,Subcontract - Subcontract,,"Provide all labor, equipment, and materials necessary to perform site dewatering and mucking out of unsuitable saturated soils. ","Minnesota Utilities & Excavating, LLC",SC-25-117-310,ls,0.0,$0.00,$0.00,,$0.00,1.0,"$5,366.00","$5,366.00",,"$5,366.00","$5,366.00","-$5,366.00",
033,Dewatering and Rock Road,31-310000.000 - Earthwork,Subcontract - Subcontract,,"Import and place 3"" rock on road for access to basement for Gresser's concrete and pump trucks.","Minnesota Utilities & Excavating, LLC",SC-25-117-310,ls,0.0,$0.00,$0.00,,$0.00,1.0,"$5,732.00","$5,732.00",,"$5,732.00","$5,732.00","-$5,732.00",
032,10-Year Sealed Lithium Detectors ,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$16.90,$16.90,$16.90,,,,,,0.0,$16.90,
032,10-Year Sealed Lithium Detectors ,60-604000.000 - Fee,Material - Material,,,,,,,,$59.15,$59.15,$59.15,,,,,,0.0,$59.15,
032,10-Year Sealed Lithium Detectors ,26-260000.000 - Electrical,Subcontract - Subcontract,,Supply and install 10-year sealed lithium battery backup smoke and combination smoke/carbon,"Berd Electric, LLC",SC-25-117-260,ls,1.0,"$1,690.00","$1,690.00","$1,690.00","$1,690.00",1.0,"$1,690.00","$1,690.00",,"$1,690.00","$1,690.00",$0.00,
031,Eliminate Quartz Surround at Unit Fireplaces ,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,-$84.30,$0.00,-$84.30,,,,,,0.0,-$84.30,
031,Eliminate Quartz Surround at Unit Fireplaces ,60-604000.000 - Fee,Material - Material,,,,,,,,-$295.07,$0.00,-$295.07,,,,,,0.0,-$295.07,
031,Eliminate Quartz Surround at Unit Fireplaces ,12-123640.000 - Residential Countertops,Subcontract - Subcontract,,Deduct to eliminate quartz Surround at unit fireplaces.,Leon's Countertops,SC-25-117-123,ls,-1.0,"$8,430.45","-$8,430.45",,"-$8,430.45",-1.0,"$8,430.45","-$8,430.45",,"-$8,430.45","-$8,430.45",$0.00,
030,Contingency: 20-Mil Wear LVT in lieu of 12-Mil Wear,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
030,Contingency: 20-Mil Wear LVT in lieu of 12-Mil Wear,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
030,Contingency: 20-Mil Wear LVT in lieu of 12-Mil Wear,9-96500.000 - Resilient Flooring,Subcontract - Subcontract,,Upgrade LVT-2 at all phase III unit locations from a 12-Mil wear to 20-Mil wear.,Precision Floors,SC-25-117-093,ls,0.0,$0.00,$0.00,"$44,430.75","$44,430.75",1.0,"$44,430.75","$44,430.75",,"$44,430.75","$44,430.75",$0.00,
030,Contingency: 20-Mil Wear LVT in lieu of 12-Mil Wear,60-601005.000 - Design Contingency,Material - Material,,Upgrade LVT-2 at all phase III unit locations from a 12-Mil wear to 20-Mil wear.,,,,0.0,$0.00,$0.00,"-$44,430.75","-$44,430.75",-1.0,"$44,430.75","-$44,430.75",,,"-$44,430.75",$0.00,
029,Contingency: Sound Mat and LVT AL Units,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
029,Contingency: Sound Mat and LVT AL Units,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
029,Contingency: Sound Mat and LVT AL Units,9-96500.000 - Resilient Flooring,Subcontract - Subcontract,,Supply and install Sound Mat and LVT throughout AL Units,Precision Floors,SC-25-117-093,ls,0.0,$0.00,$0.00,"$2,999.50","$2,999.50",1.0,"$2,999.50","$2,999.50",,"$2,999.50","$2,999.50",$0.00,
029,Contingency: Sound Mat and LVT AL Units,60-601005.000 - Design Contingency,Material - Material,,Supply and install Sound Mat and LVT throughout AL Units,,,ls,0.0,$0.00,$0.00,"-$2,999.50","-$2,999.50",-1.0,"$2,999.50","-$2,999.50",,,"-$2,999.50",$0.00,
028,Contract Time Extension,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
028,Contract Time Extension,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
028,Contract Time Extension,,,,,,,,,,$0.00,$0.00,$0.00,,,$0.00,,,$0.00,$0.00,
027, Contingency: Fire Suppression Relocation at AL Units,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
027, Contingency: Fire Suppression Relocation at AL Units,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
027, Contingency: Fire Suppression Relocation at AL Units,9-96500.000 - Resilient Flooring,Subcontract - Subcontract,,Repair gypcrete floor removal at AL units for fire suppression system modifications,Precision Floors,SC-25-117-093,ls,1.0,"$1,200.00","$1,200.00","$1,200.00","$1,200.00",1.0,"$1,200.00","$1,200.00",,"$1,200.00","$1,200.00",$0.00,
027, Contingency: Fire Suppression Relocation at AL Units,2-29015.000 - Safety,Material - Material,,Fire watch for fire suppression system shutdown during relocation,,,ls,1.0,"$1,297.50","$1,297.50","$1,297.50","$1,297.50",1.0,"$1,297.50","$1,297.50",,,"$1,297.50",$0.00,
027, Contingency: Fire Suppression Relocation at AL Units,60-601005.000 - Design Contingency,Material - Material,,Gypcrete Repairs and Fire watch for AL unit Fire Suppression Relocation,,,ls,-1.0,"$2,497.50","-$2,497.50","-$2,497.50","-$2,497.50",-1.0,"$2,497.50","-$2,497.50",,,"-$2,497.50",$0.00,
026,AL Units Sound Mat,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
026,AL Units Sound Mat,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
026,AL Units Sound Mat,,,,,,,,,,$0.00,,$0.00,,,$0.00,,,$0.00,$0.00,
025,Additional Precast Mobilization,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
025,Additional Precast Mobilization,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
025,Additional Precast Mobilization,3-34100.000 - Precast Structural Concrete,Subcontract - Subcontract,,Additional mobilization for precast erection,"Gresser Companies, Inc.",SC-25-117-030,ls,0.0,$0.00,$0.00,,$0.00,-1.0,"$10,000.00","-$10,000.00",,"-$10,000.00","-$10,000.00","$10,000.00",
025,Additional Precast Mobilization,3-34100.000 - Precast Structural Concrete,Subcontract - Subcontract,,Additional mobilization for precast erection,"County Prestress & Precast, LLC",SC-25-117-034,ls,0.0,$0.00,$0.00,,$0.00,1.0,"$10,000.00","$10,000.00",,"$10,000.00","$10,000.00","-$10,000.00",
024,Pedestals for ADA Appliances,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$8.61,$0.00,$8.61,,,,,,0.0,$8.61,
024,Pedestals for ADA Appliances,60-604000.000 - Fee,Material - Material,,,,,,,,$30.12,$0.00,$30.12,,,,,,0.0,$30.12,
024,Pedestals for ADA Appliances,11-113100.000 - Appliances,Material - Material,,Provide GE RightHeight Riser for the remodel unit washer/dryers,All Inc.,SC-25-117-113,ls,1.0,$860.71,$860.71,,$860.71,1.0,$860.71,$860.71,,$860.71,$860.71,$0.00,
023,ASI 006 - Phase 1 Corridor Addition,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$310.52,$310.52,$310.52,,,,,,0.0,$310.52,
023,ASI 006 - Phase 1 Corridor Addition,60-604000.000 - Fee,Material - Material,,,,,,,,"$1,086.81","$1,086.81","$1,086.81",,,,,,0.0,"$1,086.81",
023,ASI 006 - Phase 1 Corridor Addition,9-96500.000 - Resilient Flooring,Subcontract - Subcontract,,"Type A Units changed to all LVT, credit for carpet, additional carpet at added phase 1 corridor locaitons",Precision Floors,SC-25-117-093,ls,1.0,"$13,348.75","$13,348.75","$13,348.75","$13,348.75",1.0,"$13,348.75","$13,348.75",,"$13,348.75","$13,348.75",$0.00,
023,ASI 006 - Phase 1 Corridor Addition,2-24100.000 - Demolition,Subcontract - Subcontract,,Remove additional corridor carpet / grind mastic and salvage corner guards,"Lloyd's Construction Services, Inc.",SC-25-117-022,ls,1.0,"$2,040.00","$2,040.00","$2,040.00","$2,040.00",1.0,"$2,040.00","$2,040.00",,"$2,040.00","$2,040.00",$0.00,
023,ASI 006 - Phase 1 Corridor Addition,9-99000.000 - Painting and Coating,Subcontract - Subcontract,,Drywall/Painting - skim and patch existing walls.,"MCI Paint & Drywall, Inc.",SC-25-117-092,ls,1.0,"$6,972.00","$6,972.00","$6,972.00","$6,972.00",1.0,"$6,972.00","$6,972.00",,"$6,972.00","$6,972.00",$0.00,
023,ASI 006 - Phase 1 Corridor Addition,7-72100.000 - Thermal Insulation,Subcontract - Subcontract,,Added fiberglass batts per detial A63,Voeller Insulation Inc.,SC-25-117-0721,ls,1.0,"$1,685.00","$1,685.00","$1,685.00","$1,685.00",1.0,"$1,685.00","$1,685.00",,"$1,685.00","$1,685.00",$0.00,
023,ASI 006 - Phase 1 Corridor Addition,11-113100.000 - Appliances,Material - Material,,Added under counter refrigerator at marketing office.,All Inc.,SC-25-117-113,ls,1.0,$495.00,$495.00,$495.00,$495.00,1.0,$495.00,$495.00,,,$495.00,$0.00,
023,ASI 006 - Phase 1 Corridor Addition,6-62200.000 - Millwork,Material - Material,,Added Millwork,Builders Millwork Inc,PO-25-117-081,ls,1.0,"$5,211.00","$5,211.00","$5,211.00","$5,211.00",1.0,"$5,211.00","$5,211.00",,"$5,211.00","$5,211.00",$0.00,
023,ASI 006 - Phase 1 Corridor Addition,6-62000.000 - Finish Carpentry Installation,Subcontract - Subcontract,,Finish carpentry install ,JB Finishes,SC-25-117-062,ls,1.0,"$1,300.00","$1,300.00","$1,300.00","$1,300.00",1.0,"$1,300.00","$1,300.00",,,"$1,300.00",$0.00,
022,Marketing office electrical pricing RFI,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
022,Marketing office electrical pricing RFI,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
022,Marketing office electrical pricing RFI,,,,,,,,0.0,$0.00,$0.00,,$0.00,0.0,$0.00,$0.00,,,$0.00,$0.00,
021,AL Unit Light Switch Add,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
021,AL Unit Light Switch Add,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
021,AL Unit Light Switch Add,,,,,,,,,,$0.00,,$0.00,,,$0.00,,,$0.00,$0.00,
020,Additional Mobilization and Saw Cutting at Precast,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
020,Additional Mobilization and Saw Cutting at Precast,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
020,Additional Mobilization and Saw Cutting at Precast,2-24100.000 - Demolition,Subcontract - Subcontract,,Additional remobilization for added saw cutting at precast.,"Lloyd's Construction Services, Inc.",SC-25-117-022,ls,0.0,$0.00,$0.00,,$0.00,1.0,"$1,875.00","$1,875.00",,"$1,875.00","$1,875.00","-$1,875.00",
019,AL Unit Flooring,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
019,AL Unit Flooring,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
019,AL Unit Flooring,9-96500.000 - Resilient Flooring,Subcontract - Subcontract,,Supply and install LVT-2 flooring at AL unit restrooms and walk-in closets. ,Precision Floors,SC-25-117-093,ls,0.0,$0.00,$0.00,,$0.00,1.0,"$1,324.00","$1,324.00",,,"$1,324.00","-$1,324.00",
019,AL Unit Flooring,60-601000.000 - Construction Contingency,Material - Material,,Supply and install LVT-2 flooring at AL unit restrooms and walk-in closets. ,,,ls,0.0,$0.00,$0.00,,$0.00,-1.0,"$1,324.00","-$1,324.00",,,"-$1,324.00","$1,324.00",
018,Contingency: Add Sound Mat to all Unit Carpeted Areas,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
018,Contingency: Add Sound Mat to all Unit Carpeted Areas,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
018,Contingency: Add Sound Mat to all Unit Carpeted Areas,3-35413.000 - Gypcrete,Subcontract - Subcontract,,"Add 3/8"" sound mat to all unit bedrooms",ATR Commercial Flooring,SC-25-117-033,ls,0.0,$0.00,$0.00,"$10,200.00","$10,200.00",1.0,"$10,200.00","$10,200.00",,"$10,200.00","$10,200.00",$0.00,
018,Contingency: Add Sound Mat to all Unit Carpeted Areas,60-601005.000 - Design Contingency,Material - Material,,"Add 3/8"" sound mat to all unit bedrooms",,,ls,0.0,$0.00,$0.00,"-$10,200.00","-$10,200.00",-1.0,"$10,200.00","-$10,200.00",,,"-$10,200.00",$0.00,
017,Contingency: Solid Surface Tops 3cm,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
017,Contingency: Solid Surface Tops 3cm,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
017,Contingency: Solid Surface Tops 3cm,12-123640.000 - Residential Countertops,Subcontract - Subcontract,,At unit quartz solid surface tops increase thickness from 2cm to 3cm.,Leon's Countertops,SC-25-117-123,ls,0.0,$0.00,$0.00,"$19,396.95","$19,396.95",1.0,"$19,396.95","$19,396.95",,"$19,396.95","$19,396.95",$0.00,
017,Contingency: Solid Surface Tops 3cm,60-601005.000 - Design Contingency,Material - Material,,Contingency: At unit quartz solid surface tops increase thickness from 2cm to 3cm.,,,ls,0.0,$0.00,$0.00,"-$19,396.95","-$19,396.95",-1.0,"$19,396.95","-$19,396.95",,,"-$19,396.95",$0.00,
016,OHD Motor Change,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
016,OHD Motor Change,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
016,OHD Motor Change,8-83613.000 - Overhead and Coiling Doors,Subcontract - Subcontract,,"change to alarmgard auto-reset motor operator with battery backup from alarmgard chain operator, auto-reset no battery backup.","Twin City Garage Door Co., Inc.",SC-25-117-083,ls,0.0,$0.00,$0.00,,$0.00,1.0,"$6,000.00","$6,000.00",,"$6,000.00","$6,000.00","-$6,000.00",
015,ASI 005,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$765.06,$765.06,$765.06,,,,,,0.0,$765.06,
015,ASI 005,60-604000.000 - Fee,Material - Material,,,,,,,,"$2,677.71","$2,677.71","$2,677.71",,,,,,0.0,"$2,677.71",
015,ASI 005,"8-81000.000 - Doors, Frames, Hardware",Material - Material,,Added door opening 003 & 004,Builders Millwork Inc,PO-25-117-081,ls,1.0,"$4,738.00","$4,738.00","$4,738.00","$4,738.00",1.0,"$4,738.00","$4,738.00",,"$4,738.00","$4,738.00",$0.00,
015,ASI 005,9-92116.000 - Gypsum Board Assemblies,Subcontract - Subcontract,,"Paint added doors, add sound channel at Community Room 115, additional MR board, additional FRP at pet spa deduct for framing/drywall, ","MCI Paint & Drywall, Inc.",SC-25-117-092,ls,1.0,"$1,043.00","$1,043.00","$1,043.00","$1,043.00",1.0,"$1,043.00","$1,043.00",,"$1,043.00","$1,043.00",$0.00,
015,ASI 005,9-99000.000 - Painting and Coating,Subcontract - Subcontract,,Paint added doors. ,"MCI Paint & Drywall, Inc.",SC-25-117-092,ls,1.0,$330.00,$330.00,$330.00,$330.00,1.0,$330.00,$330.00,,$330.00,$330.00,$0.00,
015,ASI 005,9-96500.000 - Resilient Flooring,Subcontract - Subcontract,,Deduct vinyl base at old pet spa location,Precision Floors,SC-25-117-093,ls,1.0,$542.29,$542.29,$542.29,$542.29,1.0,$542.29,$542.29,,$542.29,$542.29,$0.00,
015,ASI 005,12-123640.000 - Residential Countertops,Subcontract - Subcontract,,Increased size of vanities and added additional integral sinks.,Leon's Countertops,SC-25-117-123,ls,1.0,"$15,044.88","$15,044.88","$15,044.88","$15,044.88",1.0,"$15,044.88","$15,044.88",,"$15,044.88","$15,044.88",$0.00,
015,ASI 005,6-64100.000 - Architectural Casework & Millwork,Material - Material,,"Additional vanity sink bases and drawer bases, unit C.1, E, F.",Alpine Cabinetry,PO-25-117-123,ls,1.0,"$39,627.81","$39,627.81","$39,627.81","$39,627.81",1.0,"$39,627.81","$39,627.81",,"$39,627.81","$39,627.81",$0.00,
015,ASI 005,6-62000.000 - Finish Carpentry Installation,Subcontract - Subcontract,,"Larger vanities at units C1, E, F",JB Finishes,SC-25-117-062,ls,1.0,"$2,970.00","$2,970.00","$2,970.00","$2,970.00",1.0,"$2,970.00","$2,970.00",,,"$2,970.00",$0.00,
015,ASI 005,22-220000.000 - Plumbing,Subcontract - Subcontract,,Add 33 Lav sinks at units,J-Berd Mechanical Contractors,SC-25-117-220,ls,1.0,"$9,075.00","$9,075.00","$9,075.00","$9,075.00",1.0,"$9,075.00","$9,075.00",,"$9,075.00","$9,075.00",$0.00,
015,ASI 005,26-260000.000 - Electrical,Subcontract - Subcontract,,Add 33  vanity lights. Fixtures provided by others,"Berd Electric, LLC",SC-25-117-260,ls,1.0,"$3,135.00","$3,135.00","$3,135.00","$3,135.00",1.0,"$3,135.00","$3,135.00",,"$3,135.00","$3,135.00",$0.00,
014,Contigency: Electrical Pad Changes,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
014,Contigency: Electrical Pad Changes,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
014,Contigency: Electrical Pad Changes,60-601005.000 - Design Contingency,Material - Material,,"Contingency: Electrical pad sizes revised per utility company requirements, replacing sizes shown in contract documents.",,,ls,0.0,$0.00,$0.00,"-$1,781.87","-$1,781.87",-1.0,"$1,781.87","-$1,781.87",,,"-$1,781.87",$0.00,
014,Contigency: Electrical Pad Changes,3-33000.000 - Cast in Place Concrete,Subcontract - Subcontract,,"Electrical pad sizes revised per utility company requirements, replacing sizes shown in contract documents.","Gresser Companies, Inc.",SC-25-117-030,ls,0.0,$0.00,$0.00,"$1,781.87","$1,781.87",1.0,"$1,781.87","$1,781.87",,"$1,781.87","$1,781.87",$0.00,
013,Contingency: 3hr Rated Expansion System ,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
013,Contingency: 3hr Rated Expansion System ,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
013,Contingency: 3hr Rated Expansion System ,60-601005.000 - Design Contingency,Material - Material,,Cost assicated with 3hr Expansion Joints,,,ls,0.0,$0.00,$0.00,"-$19,535.00","-$19,535.00",-1.0,"$19,535.00","-$19,535.00",,,"-$19,535.00",$0.00,
013,Contingency: 3hr Rated Expansion System ,7-79500.000 - Expansion Joints,Subcontract - Subcontract,,Contingency use for actual cost of 3hr rated expansion joints,,,ls,0.0,$0.00,$0.00,"$19,535.00","$19,535.00",1.0,"$19,535.00","$19,535.00",,,"$19,535.00",$0.00,
012,ASI 004,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$32.00,$32.00,$32.00,,,,,,0.0,$32.00,
012,ASI 004,60-604000.000 - Fee,Material - Material,,,,,,,,$112.00,$112.00,$112.00,,,,,,0.0,$112.00,
012,ASI 004,5-51200.000 - Structural Steel,Subcontract - Subcontract,,Supply and install 8 extra gates at lower level patios,"D G Welding & Mfg., Inc.",SC-25-117-051,ls,1.0,"$3,200.00","$3,200.00","$3,200.00","$3,200.00",1.0,"$3,200.00","$3,200.00",,"$3,200.00","$3,200.00",$0.00,
011,ASI 003,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$41.82,$41.82,$41.82,,,,,,0.0,$41.82,
011,ASI 003,60-604000.000 - Fee,Material - Material,,,,,,,,$146.37,$146.37,$146.37,,,,,,0.0,$146.37,
011,ASI 003,6-61753.000 - Wood Trusses,Material - Material,,Revised header details for elevator opening,Mayfield Truss LLC,PO-25-117-061,,1.0,"$2,474.11","$2,474.11","$2,474.11","$2,474.11",1.0,"$2,474.11","$2,474.11",,"$2,474.11","$2,474.11",$0.00,
011,ASI 003,3-33000.000 - Cast in Place Concrete,Subcontract - Subcontract,,Thickened concrete slab w/ reinforcement at base of stair stringers,"Gresser Companies, Inc.",SC-25-117-030,,1.0,"$1,107.75","$1,107.75","$1,107.75","$1,107.75",1.0,"$1,107.75","$1,107.75",,"$1,107.75","$1,107.75",$0.00,
011,ASI 003,5-51200.000 - Structural Steel,Subcontract - Subcontract,,Increased size of hoist beams,"D G Welding & Mfg., Inc.",SC-25-117-051,,1.0,$600.00,$600.00,$600.00,$600.00,1.0,$600.00,$600.00,,$600.00,$600.00,$0.00,
010,Elevator Pit Ladder,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
010,Elevator Pit Ladder,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
010,Elevator Pit Ladder,5-51200.000 - Structural Steel,Subcontract - Subcontract,,Supply and install two elevator pit ladder.,"D G Welding & Mfg., Inc.",SC-25-117-051,ls,0.0,$0.00,$0.00,,$0.00,1.0,"$4,400.00","$4,400.00",,$0.00,$0.00,$0.00,
009,Radon Mitigation System,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
009,Radon Mitigation System,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
009,Radon Mitigation System,31-312113.000 - Radon Mitigation,Subcontract - Subcontract,,Under slab PVC for radon mitigation system at stairwells and elevator lobby.,J-Berd Mechanical Contractors,SC-25-117-220,ls,0.0,$0.00,$0.00,,$0.00,1.0,"$1,850.00","$1,850.00",,"$1,850.00","$1,850.00","-$1,850.00",
008,Supply and Install Aluminum Railings,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
008,Supply and Install Aluminum Railings,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
008,Supply and Install Aluminum Railings,5-51200.000 - Structural Steel,Subcontract - Subcontract,,Supply and install all aluminum railings throughout project.,"D G Welding & Mfg., Inc.",SC-25-117-051,ls,0.0,$0.00,$0.00,,$0.00,1.0,"$125,000.00","$125,000.00",,"$125,000.00","$125,000.00","-$125,000.00",
007,Irrigation System Repair,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
007,Irrigation System Repair,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
007,Irrigation System Repair,32-329000.000 - Landscaping and Irrigation,Subcontract - Subcontract,,Connect existing mainline on plan west to plan east maineline,"Autumn Ridge Landscaping, Inc.",SC-25-117-323,ls,0.0,$0.00,$0.00,"$4,387.00","$4,387.00",1.0,"$4,387.00","$4,387.00",,"$4,387.00","$4,387.00",$0.00,
